settlement,teaor,bin,count
Bonyhád,90,1-4,11
Bonyhád,41,5-9,5
Bordány,41,1-4,6
Bordány,66,1-4,5
Borjád,16,1-4,8
Botykapeterd,41,1-4,5
Budajenõ,66,1-4,7
Budajenõ,90,1-4,9
Budakalász,41,1-4,10
Budakalász,66,1-4,30
Budakalász,90,1-4,42
Budakalász,41,5-9,6
Budakeszi,23,1-4,6
Budakeszi,41,1-4,21
Budakeszi,55,1-4,5
Budakeszi,66,1-4,39
Budakeszi,90,1-4,103
Budapest 01. kerület,23,1-4,7
Budapest 01. kerület,41,1-4,38
Budapest 01. kerület,55,1-4,22
Budapest 01. kerület,66,1-4,55
Budapest 01. kerület,78,1-4,10
Budapest 01. kerület,80,1-4,8
Budapest 01. kerület,90,1-4,236
Budapest 01. kerület,41,10-19,6
Budapest 01. kerület,41,5-9,11
Budapest 01. kerület,90,5-9,6
Budapest 01. kerület,84,50-249,7
Budapest 02. kerület,11,1-4,12
Budapest 02. kerület,16,1-4,9
Budapest 02. kerület,23,1-4,12
Budapest 02. kerület,41,1-4,232
Budapest 02. kerület,55,1-4,73
Budapest 02. kerület,66,1-4,228
Budapest 02. kerület,78,1-4,26
Budapest 02. kerület,80,1-4,31
Budapest 02. kerület,84,1-4,5
Budapest 02. kerület,90,1-4,721
Budapest 02. kerület,41,10-19,15
Budapest 02. kerület,66,10-19,6
Budapest 02. kerület,41,20-49,6
Budapest 02. kerület,55,20-49,11
Budapest 02. kerület,66,20-49,6
Budapest 02. kerület,84,250-1000,7
Budapest 02. kerület,41,5-9,34
Budapest 02. kerület,55,5-9,9
Budapest 02. kerület,66,5-9,9
Budapest 02. kerület,80,5-9,5
Budapest 02. kerület,90,5-9,6
Budapest 02. kerület,55,50-249,6
Budapest 03. kerület,11,1-4,5
Budapest 03. kerület,16,1-4,19
Budapest 03. kerület,23,1-4,16
Budapest 03. kerület,41,1-4,227
Budapest 03. kerület,55,1-4,45
Budapest 03. kerület,66,1-4,431
Budapest 03. kerület,78,1-4,17
Budapest 03. kerület,80,1-4,54
Budapest 03. kerület,90,1-4,563
Budapest 03. kerület,41,10-19,34
Budapest 03. kerület,80,10-19,8
Budapest 03. kerület,41,20-49,20
Budapest 03. kerület,80,20-49,6
Budapest 03. kerület,90,20-49,5
Budapest 03. kerület,41,5-9,45
Budapest 03. kerület,66,5-9,11
Budapest 03. kerület,80,5-9,12
Budapest 03. kerület,41,50-249,7
Budapest 03. kerület,55,50-249,6
Budapest 03. kerület,80,50-249,13
Budapest 03. kerület,84,50-249,5
Budapest 04. kerület,16,1-4,7
Budapest 04. kerület,23,1-4,8
Budapest 04. kerület,41,1-4,114
Budapest 04. kerület,55,1-4,14
Budapest 04. kerület,66,1-4,264
Budapest 04. kerület,78,1-4,6
Budapest 04. kerület,80,1-4,33
Budapest 04. kerület,90,1-4,248
Budapest 04. kerület,41,10-19,13
Budapest 04. kerület,80,20-49,9
Budapest 04. kerület,41,5-9,11
Budapest 04. kerület,80,5-9,10
Budapest 05. kerület,41,1-4,81
Budapest 05. kerület,55,1-4,75
Budapest 05. kerület,66,1-4,101
Budapest 05. kerület,78,1-4,18
Budapest 05. kerület,80,1-4,11
Budapest 05. kerület,84,1-4,8
Budapest 05. kerület,90,1-4,198
Budapest 05. kerület,41,10-19,16
Budapest 05. kerület,55,10-19,9
Budapest 05. kerület,66,10-19,7
Budapest 05. kerület,80,10-19,9
Budapest 05. kerület,55,20-49,9
Budapest 05. kerület,78,20-49,7
Budapest 05. kerület,84,250-1000,23
Budapest 05. kerület,41,5-9,15
Budapest 05. kerület,55,5-9,7
Budapest 05. kerület,66,5-9,11
Budapest 05. kerület,78,5-9,7
Budapest 05. kerület,90,5-9,5
Budapest 05. kerület,55,50-249,10
Budapest 05. kerület,66,50-249,5
Budapest 05. kerület,84,50-249,10
Budapest 06. kerület,11,1-4,6
Budapest 06. kerület,16,1-4,7
Budapest 06. kerület,23,1-4,6
Budapest 06. kerület,41,1-4,207
Budapest 06. kerület,55,1-4,76
Budapest 06. kerület,66,1-4,126
Budapest 06. kerület,78,1-4,17
Budapest 06. kerület,80,1-4,24
Budapest 06. kerület,90,1-4,283
Budapest 06. kerület,41,10-19,21
Budapest 06. kerület,55,10-19,10
Budapest 06. kerület,66,10-19,5
Budapest 06. kerület,78,10-19,7
Budapest 06. kerület,41,20-49,6
Budapest 06. kerület,55,20-49,9
Budapest 06. kerület,41,5-9,42
Budapest 06. kerület,55,5-9,9
Budapest 06. kerület,66,5-9,5
Budapest 06. kerület,78,5-9,6
Budapest 06. kerület,80,5-9,6
Budapest 06. kerület,90,5-9,8
Budapest 06. kerület,55,50-249,5
Budapest 06. kerület,90,50-249,5
Budapest 07. kerület,23,1-4,5
Budapest 07. kerület,41,1-4,129
Budapest 07. kerület,55,1-4,63
Budapest 07. kerület,66,1-4,105
Budapest 07. kerület,78,1-4,7
Budapest 07. kerület,80,1-4,12
Budapest 07. kerület,90,1-4,413
Budapest 07. kerület,41,10-19,10
Budapest 07. kerület,55,10-19,8
Budapest 07. kerület,41,20-49,5
Budapest 07. kerület,55,20-49,8
Budapest 07. kerület,78,20-49,5
Budapest 07. kerület,41,5-9,24
Budapest 07. kerület,55,5-9,11
Budapest 07. kerület,66,5-9,5
Budapest 08. kerület,16,1-4,12
Budapest 08. kerület,23,1-4,6
Budapest 08. kerület,41,1-4,207
Budapest 08. kerület,55,1-4,59
Budapest 08. kerület,66,1-4,132
Budapest 08. kerület,78,1-4,5
Budapest 08. kerület,80,1-4,21
Budapest 08. kerület,84,1-4,6
Budapest 08. kerület,90,1-4,438
Budapest 08. kerület,41,10-19,21
Budapest 08. kerület,55,10-19,5
Budapest 08. kerület,41,20-49,15
Budapest 08. kerület,84,250-1000,5
Budapest 08. kerület,41,5-9,32
Budapest 08. kerület,55,5-9,8
Budapest 08. kerület,84,50-249,5
Budapest 09. kerület,11,1-4,5
Budapest 09. kerület,23,1-4,5
Budapest 09. kerület,41,1-4,131
Budapest 09. kerület,55,1-4,29
Budapest 09. kerület,66,1-4,133
Budapest 09. kerület,78,1-4,15
Budapest 09. kerület,80,1-4,18
Budapest 09. kerület,90,1-4,286
Budapest 09. kerület,41,10-19,13
Budapest 09. kerület,66,10-19,6
Budapest 09. kerület,80,10-19,6
Budapest 09. kerület,41,20-49,10
Budapest 09. kerület,55,20-49,6
Budapest 09. kerület,80,20-49,8
Budapest 09. kerület,41,5-9,24
Budapest 09. kerület,66,5-9,10
Budapest 09. kerület,78,5-9,6
Budapest 09. kerület,41,50-249,5
Budapest 09. kerület,80,50-249,5
Budapest 09. kerület,90,50-249,6
Budapest 10. kerület,16,1-4,13
Budapest 10. kerület,23,1-4,27
Budapest 10. kerület,41,1-4,101
Budapest 10. kerület,55,1-4,17
Budapest 10. kerület,66,1-4,142
Budapest 10. kerület,78,1-4,7
Budapest 10. kerület,80,1-4,25
Budapest 10. kerület,90,1-4,178
Budapest 10. kerület,41,10-19,11
Budapest 10. kerület,41,20-49,5
Budapest 10. kerület,84,250-1000,6
Budapest 10. kerület,41,5-9,15
Budapest 10. kerület,80,5-9,6
Budapest 10. kerület,90,5-9,5
Budapest 11. kerület,11,1-4,8
Budapest 11. kerület,16,1-4,8
Budapest 11. kerület,23,1-4,17
Budapest 11. kerület,41,1-4,278
Budapest 11. kerület,55,1-4,56
Budapest 11. kerület,66,1-4,317
Budapest 11. kerület,78,1-4,26
Budapest 11. kerület,80,1-4,39
Budapest 11. kerület,90,1-4,642
Budapest 11. kerület,41,10-19,25
Budapest 11. kerület,55,10-19,6
Budapest 11. kerület,78,10-19,5
Budapest 11. kerület,80,10-19,7
Budapest 11. kerület,41,20-49,12
Budapest 11. kerület,78,20-49,6
Budapest 11. kerület,80,20-49,5
Budapest 11. kerület,41,5-9,59
Budapest 11. kerület,55,5-9,6
Budapest 11. kerület,66,5-9,7
Budapest 11. kerület,78,5-9,6
Budapest 11. kerület,90,5-9,10
Budapest 11. kerület,41,50-249,5
Budapest 11. kerület,78,50-249,6
Budapest 11. kerület,80,50-249,11
Budapest 12. kerület,11,1-4,5
Budapest 12. kerület,16,1-4,5
Budapest 12. kerület,23,1-4,6
Budapest 12. kerület,41,1-4,87
Budapest 12. kerület,55,1-4,43
Budapest 12. kerület,66,1-4,101
Budapest 12. kerület,78,1-4,13
Budapest 12. kerület,80,1-4,7
Budapest 12. kerület,90,1-4,411
Budapest 12. kerület,41,10-19,8
Budapest 12. kerület,66,10-19,8
Budapest 12. kerület,41,5-9,14
Budapest 12. kerület,66,5-9,6
Budapest 12. kerület,90,5-9,5
Budapest 13. kerület,11,1-4,5
Budapest 13. kerület,16,1-4,16
Budapest 13. kerület,23,1-4,11
Budapest 13. kerület,41,1-4,261
Budapest 13. kerület,55,1-4,64
Budapest 13. kerület,66,1-4,362
Budapest 13. kerület,78,1-4,29
Budapest 13. kerület,80,1-4,52
Budapest 13. kerület,90,1-4,570
Budapest 13. kerület,41,10-19,31
Budapest 13. kerület,55,10-19,5
Budapest 13. kerület,66,10-19,15
Budapest 13. kerület,80,10-19,10
Budapest 13. kerület,41,20-49,16
Budapest 13. kerület,66,20-49,5
Budapest 13. kerület,80,20-49,5
Budapest 13. kerület,78,250-1000,5
Budapest 13. kerület,84,250-1000,11
Budapest 13. kerület,41,5-9,54
Budapest 13. kerület,55,5-9,6
Budapest 13. kerület,66,5-9,6
Budapest 13. kerület,78,5-9,6
Budapest 13. kerület,80,5-9,5
Budapest 13. kerület,90,5-9,6
Budapest 13. kerület,66,50-249,8
Budapest 13. kerület,78,50-249,9
Budapest 13. kerület,80,50-249,6
Budapest 14. kerület,11,1-4,7
Budapest 14. kerület,16,1-4,8
Budapest 14. kerület,23,1-4,16
Budapest 14. kerület,41,1-4,237
Budapest 14. kerület,55,1-4,42
Budapest 14. kerület,66,1-4,364
Budapest 14. kerület,78,1-4,19
Budapest 14. kerület,80,1-4,36
Budapest 14. kerület,90,1-4,618
Budapest 14. kerület,41,10-19,15
Budapest 14. kerület,55,10-19,6
Budapest 14. kerület,80,10-19,13
Budapest 14. kerület,90,10-19,6
Budapest 14. kerület,41,20-49,9
Budapest 14. kerület,55,20-49,6
Budapest 14. kerület,80,20-49,6
Budapest 14. kerület,84,250-1000,7
Budapest 14. kerület,41,5-9,43
Budapest 14. kerület,55,5-9,9
Budapest 14. kerület,66,5-9,7
Budapest 14. kerület,80,5-9,6
Budapest 14. kerület,90,5-9,8
Budapest 14. kerület,80,50-249,8
Budapest 15. kerület,11,1-4,6
Budapest 15. kerület,16,1-4,17
Budapest 15. kerület,23,1-4,12
Budapest 15. kerület,41,1-4,189
Budapest 15. kerület,55,1-4,17
Budapest 15. kerület,66,1-4,207
Budapest 15. kerület,80,1-4,35
Budapest 15. kerület,90,1-4,187
Budapest 15. kerület,41,10-19,25
Budapest 15. kerület,80,10-19,8
Budapest 15. kerület,41,20-49,11
Budapest 15. kerület,41,5-9,43
Budapest 15. kerület,80,5-9,8
Budapest 15. kerület,41,50-249,6
Budapest 16. kerület,16,1-4,18
Budapest 16. kerület,23,1-4,12
Budapest 16. kerület,41,1-4,192
Budapest 16. kerület,55,1-4,16
Budapest 16. kerület,66,1-4,175
Budapest 16. kerület,78,1-4,14
Budapest 16. kerület,80,1-4,21
Budapest 16. kerület,90,1-4,226
Budapest 16. kerület,41,10-19,16
Budapest 16. kerület,41,20-49,6
Budapest 16. kerület,41,5-9,34
Budapest 16. kerület,80,5-9,6
Budapest 17. kerület,16,1-4,15
Budapest 17. kerület,23,1-4,8
Budapest 17. kerület,41,1-4,143
Budapest 17. kerület,55,1-4,18
Budapest 17. kerület,66,1-4,204
Budapest 17. kerület,78,1-4,5
Budapest 17. kerület,80,1-4,33
Budapest 17. kerület,90,1-4,206
Budapest 17. kerület,41,10-19,6
Budapest 17. kerület,41,20-49,5
Budapest 17. kerület,41,5-9,27
Budapest 17. kerület,90,5-9,5
Budapest 18. kerület,11,1-4,5
Budapest 18. kerület,16,1-4,23
Budapest 18. kerület,23,1-4,18
Budapest 18. kerület,41,1-4,167
Budapest 18. kerület,55,1-4,16
Budapest 18. kerület,66,1-4,229
Budapest 18. kerület,80,1-4,38
Budapest 18. kerület,90,1-4,193
Budapest 18. kerület,41,10-19,12
Budapest 18. kerület,41,20-49,7
Budapest 18. kerület,41,5-9,27
Budapest 19. kerület,23,1-4,14
Budapest 19. kerület,41,1-4,85
Budapest 19. kerület,55,1-4,15
Budapest 19. kerület,66,1-4,137
Budapest 19. kerület,78,1-4,5
Budapest 19. kerület,80,1-4,32
Budapest 19. kerület,90,1-4,203
Budapest 19. kerület,41,10-19,6
Budapest 19. kerület,41,5-9,16
Budapest 19. kerület,80,5-9,7
Budapest 20. kerület,11,1-4,5
Budapest 20. kerület,16,1-4,11
Budapest 20. kerület,23,1-4,11
Budapest 20. kerület,41,1-4,87
Budapest 20. kerület,55,1-4,11
Budapest 20. kerület,66,1-4,154
Budapest 20. kerület,80,1-4,21
Budapest 20. kerület,90,1-4,141
Budapest 20. kerület,41,10-19,14
Budapest 20. kerület,41,5-9,17
Budapest 21. kerület,16,1-4,10
Budapest 21. kerület,23,1-4,8
Budapest 21. kerület,41,1-4,88
Budapest 21. kerület,55,1-4,8
Budapest 21. kerület,66,1-4,160
Budapest 21. kerület,78,1-4,6
Budapest 21. kerület,80,1-4,17
Budapest 21. kerület,90,1-4,156
Budapest 21. kerület,41,10-19,7
Budapest 21. kerület,41,20-49,7
Budapest 21. kerület,41,5-9,19
Budapest 21. kerület,90,5-9,6
Budapest 22. kerület,16,1-4,9
Budapest 22. kerület,23,1-4,14
Budapest 22. kerület,41,1-4,145
Budapest 22. kerület,55,1-4,26
Budapest 22. kerület,66,1-4,148
Budapest 22. kerület,80,1-4,18
Budapest 22. kerület,90,1-4,197
Budapest 22. kerület,41,10-19,9
Budapest 22. kerület,41,5-9,27
Budapest 22. kerület,80,5-9,5
Budapest 22. kerület,80,50-249,7
Budapest 23. kerület,41,1-4,42
Budapest 23. kerület,55,1-4,9
Budapest 23. kerület,66,1-4,58
Budapest 23. kerület,90,1-4,67
Budapest 23. kerület,41,5-9,7
Budaörs,23,1-4,6
Budaörs,41,1-4,57
Budaörs,55,1-4,8
Budaörs,66,1-4,90
Budaörs,78,1-4,6
Budaörs,80,1-4,8
Budaörs,90,1-4,99
Budaörs,41,10-19,9
Budaörs,41,5-9,11
Budaörs,80,5-9,5
Bugac,41,1-4,6
Bugyi,41,1-4,9
Bugyi,66,1-4,9
Bugyi,90,1-4,8
Buják,41,1-4,12
Bábolna,66,1-4,5
Bácsalmás,41,1-4,18
Bácsalmás,66,1-4,19
Bárdudvarnok,90,1-4,5
Bárna,66,1-4,8
Bátaszék,11,1-4,5
Bátaszék,41,1-4,7
Bátaszék,66,1-4,10
Bátonyterenye,41,1-4,7
Bátonyterenye,66,1-4,30
Bátonyterenye,80,1-4,10
Bátorliget,41,1-4,5
Békés,16,1-4,10
Békés,41,1-4,37
Békés,66,1-4,37
Békés,90,1-4,26
Békéscsaba,16,1-4,8
Békéscsaba,41,1-4,62
Békéscsaba,55,1-4,17
Békéscsaba,66,1-4,209
